KW;value
KW_START;start
KW_IF;if
KW_FOR;for
KW_WHILE;while
KW_THEN;then
KW_ELSE;else
KW_SWT;switch
KW_CASE;case
KW_VAR;var
KW_INT;int
KW_STR;string
KW_DBL;double
KW_FLOAT;float
KW_END;end
