token,lexema
KW_CLASS,"class"
KW_END,"end"
KW_DEF,"def"
KW_RTRN,"return"
KW_STTC,"defstatic"
KW_VOID,"void"
KW_MAIN,"main"
KW_BOOL,"bool"
KW_INT,"integer"
KW_STR,"String"
KW_DBL,"double"
KW_IF,"if"
KW_WHILE,"while"
KW_WRITE,"write"
